Source,Target,weight,event,site,date,white,black,whiteElo,blackElo,result
Baadur Jobava,Maxime Vachier-Lagrave,1,FIDE World Rapid 2014,Dubai UAE,2014.06.18,Maxime Vachier-Lagrave,Baadur Jobava,2762,2713,1/2-1/2
Baadur Jobava,Emil Sutovsky,1,17. TCh-Eur,Novi Sad SRB,2009.10.29,Baadur Jobava,Emil Sutovsky,2696,2676,1/2-1/2
Baadur Jobava,Kirill Alekseenko,1,Aeroflot Open A 2016,Moscow RUS,2016.03.06,Baadur Jobava,Kirill Alekseenko,2676,2554,1/2-1/2
Baadur Jobava,Alexander Motylev,1,11. Karpov,Poikovsky RUS,2010.06.09,Baadur Jobava,Alexander Motylev,2715,2704,1-0
Baadur Jobava,Gata Kamsky,1,SportAccord Blindfold Men 2012,Beijing CHN,2012.12.18,Gata Kamsky,Baadur Jobava,2762,2711,1/2-1/2
Baadur Jobava,Alexei Shirov,1,European Rapid 2011,Warsaw POL,2011.12.17,Alexei Shirov,Baadur Jobava,2705,2678,1/2-1/2
Baadur Jobava,Sergei Movsesian,1,Magistral,Pamplona ESP,2007.12.22,Baadur Jobava,Sergei Movsesian,2644,2670,1/2-1/2
Baadur Jobava,Michael Adams,1,19. European Teams,Warsaw POL,2013.11.15,Baadur Jobava,Michael Adams,2695,2752,1/2-1/2
Baadur Jobava,Yuriy Kryvoruchko,1,World Rapid 2017,Riyadh KSA,2017.12.26,Yuriy Kryvoruchko,Baadur Jobava,2689,2690,0-1
Baadur Jobava,Evgeny Bareev,1,ECC,Rethymnon GRE,2003.10.04,Baadur Jobava,Evgeny Bareev,2596,2721,1-0
Baadur Jobava,Vugar Gashimov,1,6. Open,Dubai UAE,2004.04.27,Baadur Jobava,Vugar Gashimov,2616,2565,1-0
Baadur Jobava,Viswanathan Anand,1,Bundesliga 2016-17,Hockenheim GER,2016.12.03,Viswanathan Anand,Baadur Jobava,2776,2698,1/2-1/2
Baadur Jobava,Laurent Fressinet,1,26. European Club Cup,Plovdiv BUL,2010.10.18,Baadur Jobava,Laurent Fressinet,2710,2718,1/2-1/2
Baadur Jobava,Bassem Amin,1,Al-Ain Classic Open A 2013,Al-Ain UAE,2013.12.23,Bassem Amin,Baadur Jobava,2654,2705,1/2-1/2
Baadur Jobava,Vladislav Kovalev,1,Aeroflot Open A 2016,Moscow RUS,2016.03.08,Baadur Jobava,Vladislav Kovalev,2676,2560,1/2-1/2
Baadur Jobava,Vladimir Kramnik,1,GCT Blitz YourNextMove,Leuven BEL,2017.07.02,Baadur Jobava,Vladimir Kramnik,2707,2808,1-0
Baadur Jobava,Hikaru Nakamura,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Hikaru Nakamura,Baadur Jobava,2746,2627,1/2-1/2
Jan-Krzysztof Duda,Jeffery Xiong,1,AI Cup Play-In 2023,chess.com INT,2023.09.18,Jeffery Xiong,Jan-Krzysztof Duda,2693,2726,1/2-1/2
Jan-Krzysztof Duda,Yu Yangyi,1,Shenzhen Evening Blitz,chess.com INT,2021.05.01,Jan-Krzysztof Duda,Yu Yangyi,2729,2709,1/2-1/2
Jan-Krzysztof Duda,Alexei Shirov,1,23rd European Teams,Terme Catez SLO,2021.11.20,Jan-Krzysztof Duda,Alexei Shirov,2756,2673,1/2-1/2
Jan-Krzysztof Duda,Hikaru Nakamura,1,Champions Showdown Blitz,Saint Louis USA,2019.02.24,Hikaru Nakamura,Jan-Krzysztof Duda,2749,2731,1/2-1/2
Jan-Krzysztof Duda,Wesley So,1,Armageddon Grand Final W,Berlin GER,2023.09.20,Wesley So,Jan-Krzysztof Duda,2753,2726,0-1
Jan-Krzysztof Duda,Baadur Jobava,1,TCh-FRA Top 12 2017,Chartres FRA,2017.05.27,Jan-Krzysztof Duda,Baadur Jobava,2693,2713,1-0
Jan-Krzysztof Duda,Daniil Dubov,1,World Blitz 2023,Samarkand UZB,2023.12.29,Daniil Dubov,Jan-Krzysztof Duda,2710,2732,1/2-1/2
Jan-Krzysztof Duda,Maxime Vachier-Lagrave,1,PRO League Group Stage,chess.com INT,2019.02.07,Maxime Vachier-Lagrave,Jan-Krzysztof Duda,2780,2738,0-1
Jan-Krzysztof Duda,Levon Aronian,1,Global Chess League 2023,Dubai UAE,2023.06.23,Jan-Krzysztof Duda,Levon Aronian,2732,2742,1/2-1/2
Jan-Krzysztof Duda,Peter Svidler,1,Titled Tue 10th Jan Early,chess.com INT,2023.01.10,Jan-Krzysztof Duda,Peter Svidler,2729,2683,1-0
Jan-Krzysztof Duda,Fabiano Caruana,1,Titled Tue 5th Dec Early,chess.com INT,2023.12.05,Jan-Krzysztof Duda,Fabiano Caruana,2732,2794,1-0
Jan-Krzysztof Duda,Ian Nepomniachtchi,1,Titled Tue 12th Sep Early,chess.com INT,2023.09.12,Jan-Krzysztof Duda,Ian Nepomniachtchi,2726,2771,1-0
Jan-Krzysztof Duda,Alexander Grischuk,1,Titled Tue 22nd Aug Late,chess.com INT,2023.08.22,Jan-Krzysztof Duda,Alexander Grischuk,2732,2736,1-0
Jan-Krzysztof Duda,Maxim Matlakov,1,Titled Tue 7th Nov Late,chess.com INT,2023.11.07,Jan-Krzysztof Duda,Maxim Matlakov,2731,2674,1-0
Jan-Krzysztof Duda,Ding Liren,1,Superbet Classic 2023,Bucharest ROU,2023.05.09,Ding Liren,Jan-Krzysztof Duda,2788,2724,1/2-1/2
Jan-Krzysztof Duda,Bogdan-Daniel Deac,1,Titled Tue 7th Nov Late,chess.com INT,2023.11.07,Bogdan-Daniel Deac,Jan-Krzysztof Duda,2700,2731,0-1
Jan-Krzysztof Duda,Pavel Eljanov,1,Titled Tue 18th Apr Late,chess.com INT,2023.04.18,Jan-Krzysztof Duda,Pavel Eljanov,2724,2705,1-0
Jan-Krzysztof Duda,Alexey Sarana,1,Titled Tue 13th Jun Late,chess.com INT,2023.06.13,Alexey Sarana,Jan-Krzysztof Duda,2685,2732,0-1
Jan-Krzysztof Duda,Bu Xiangzhi,1,China vs World Team 2018,Liaocheng CHN,2018.04.09,Bu Xiangzhi,Jan-Krzysztof Duda,2725,2724,1/2-1/2
Jan-Krzysztof Duda,Anish Giri,1,10th Sinquefield Cup Cancelled,Saint Louis USA,2023.11.21,Anish Giri,Jan-Krzysztof Duda,2752,2731,1/2-1/2
Jan-Krzysztof Duda,Vladislav Artemiev,1,World Blitz 2023,Samarkand UZB,2023.12.30,Jan-Krzysztof Duda,Vladislav Artemiev,2732,2711,1/2-1/2
Jan-Krzysztof Duda,Nikita Vitiugov,1,Titled Tue 30th May Early,chess.com INT,2023.05.30,Nikita Vitiugov,Jan-Krzysztof Duda,2724,2724,0-1
Jan-Krzysztof Duda,Alexander Onischuk,1,11. World Teams 2017,Khanty-Mansiysk RUS,2017.06.18,Alexander Onischuk,Jan-Krzysztof Duda,2685,2697,1/2-1/2
Jan-Krzysztof Duda,Alexander Riazantsev,1,World Blitz 2023,Samarkand UZB,2023.12.30,Alexander Riazantsev,Jan-Krzysztof Duda,2616,2732,1/2-1/2
Jan-Krzysztof Duda,Shakhriyar Mamedyarov,1,Euro Pairs Blitz Q Open,Krakow POL,2023.06.19,Shakhriyar Mamedyarov,Jan-Krzysztof Duda,2740,2732,1/2-1/2
Jan-Krzysztof Duda,Adhiban Baskaran,1,World Blitz 2023,Samarkand UZB,2023.12.29,Adhiban Baskaran,Jan-Krzysztof Duda,2541,2732,0-1
Jan-Krzysztof Duda,Alexander Moiseenko,1,World Blitz 2017,Riyadh KSA,2017.12.30,Jan-Krzysztof Duda,Alexander Moiseenko,2717,2667,1-0
Jan-Krzysztof Duda,Maxim Rodshtein,1,21. European Teams,Hersonissos GRE,2017.11.04,Jan-Krzysztof Duda,Maxim Rodshtein,2706,2699,1-0
Jan-Krzysztof Duda,Vincent Keymer,1,AI Cup Play-In 2023,chess.com INT,2023.09.18,Vincent Keymer,Jan-Krzysztof Duda,2717,2726,1/2-1/2
Jan-Krzysztof Duda,Dmitry Andreikin,1,Titled Tue 17th Jan Late,chess.com INT,2023.01.17,Jan-Krzysztof Duda,Dmitry Andreikin,2729,2729,1-0
Jan-Krzysztof Duda,Gabriel Sargissian,1,21. European Teams,Hersonissos GRE,2017.11.05,Jan-Krzysztof Duda,Gabriel Sargissian,2706,2657,1/2-1/2
Jan-Krzysztof Duda,Ernesto Inarkiev,1,Bundesliga 2016-17,Bremen GER,2017.04.08,Ernesto Inarkiev,Jan-Krzysztof Duda,2732,2678,1/2-1/2
Jan-Krzysztof Duda,Andrey Esipenko,1,Titled Tue 21st Mar Early,chess.com INT,2023.03.21,Andrey Esipenko,Jan-Krzysztof Duda,2680,2724,0-1
Jan-Krzysztof Duda,Boris Gelfand,1,Julius Baer GenCup Prelim,chess24.com INT,2022.09.19,Jan-Krzysztof Duda,Boris Gelfand,2731,2668,1-0
Jan-Krzysztof Duda,Vladislav Kovalev,1,11. World Teams 2017,Khanty-Mansiysk RUS,2017.06.25,Jan-Krzysztof Duda,Vladislav Kovalev,2697,2641,1/2-1/2
Jan-Krzysztof Duda,Sergey Karjakin,1,84th Tata Steel Masters,Wijk aan Zee NED,2022.01.20,Jan-Krzysztof Duda,Sergey Karjakin,2760,2743,1/2-1/2
Jan-Krzysztof Duda,Markus Ragger,1,2nd Prague Masters 2019,Prague CZE,2020.02.16,Jan-Krzysztof Duda,Markus Ragger,2755,2670,1/2-1/2
Jan-Krzysztof Duda,Igor Kovalenko,1,European Rapid 2017,Katowice POL,2017.12.17,Jan-Krzysztof Duda,Igor Kovalenko,2717,2639,1-0
Jan-Krzysztof Duda,Peter Leko,1,World Blitz 2015,Berlin GER,2015.10.14,Jan-Krzysztof Duda,Peter Leko,2658,2707,1-0
Jan-Krzysztof Duda,Wei Yi,1,FTX Road to Miami Prelim,chess24.com INT,2022.07.11,Jan-Krzysztof Duda,Wei Yi,2750,2727,1-0
Jan-Krzysztof Duda,Samuel Sevian,1,FTX Road to Miami Prelim,chess24.com INT,2022.07.13,Jan-Krzysztof Duda,Samuel Sevian,2750,2684,1-0
Jan-Krzysztof Duda,Boris Grachev,1,World Rapid 2019,Moscow RUS,2019.12.27,Boris Grachev,Jan-Krzysztof Duda,2614,2758,1/2-1/2
Jan-Krzysztof Duda,Ruslan Ponomariov,1,World Blitz 2023,Samarkand UZB,2023.12.29,Ruslan Ponomariov,Jan-Krzysztof Duda,2646,2732,0-1
Jan-Krzysztof Duda,Yuriy Kryvoruchko,1,TCh-Ekstraliga 2013,Wroclaw POL,2013.05.24,Jan-Krzysztof Duda,Yuriy Kryvoruchko,2506,2659,1/2-1/2
Jan-Krzysztof Duda,Wang Hao,1,CGC KO 2022,chess.com INT,2022.09.23,Jan-Krzysztof Duda,Wang Hao,2731,2722,1-0
Jan-Krzysztof Duda,Liviu-Dieter Nisipeanu,1,46. GM 2018,Dortmund GER,2018.07.15,Liviu-Dieter Nisipeanu,Jan-Krzysztof Duda,2672,2737,0-1
Jan-Krzysztof Duda,Evgeny Alekseev,1,World Rapid Team 2023,Dusseldorf GER,2023.08.26,Jan-Krzysztof Duda,Evgeny Alekseev,2732,2573,1-0
Jan-Krzysztof Duda,Andrei Volokitin,1,Bundesliga 2017-18,Hockenheim GER,2018.02.25,Andrei Volokitin,Jan-Krzysztof Duda,2623,2706,1/2-1/2
Jan-Krzysztof Duda,Denis Khismatullin,1,World Rapid 2023,Samarkand UZB,2023.12.26,Jan-Krzysztof Duda,Denis Khismatullin,2732,2579,1/2-1/2
Jan-Krzysztof Duda,Ivan Cheparinov,1,FIDE World Cup 2023,Baku AZE,2023.08.05,Ivan Cheparinov,Jan-Krzysztof Duda,2663,2732,1/2-1/2
Jan-Krzysztof Duda,Alexander Areshchenko,1,6. Lublin GM Rapid 2014,Lublin POL,2014.05.11,Jan-Krzysztof Duda,Alexander Areshchenko,2587,2701,1-0
Jan-Krzysztof Duda,David Navara,1,Charity Cup Prelim,chess24.com INT,2022.03.19,Jan-Krzysztof Duda,David Navara,2750,2700,1-0
Jan-Krzysztof Duda,Romain Edouard,1,Chess24 Banter Blitz Cup,chess24.com INT,2020.03.16,Romain Edouard,Jan-Krzysztof Duda,2641,2734,0-1
Jan-Krzysztof Duda,Dmitry Jakovenko,1,World Blitz 2019,Moscow RUS,2019.12.29,Dmitry Jakovenko,Jan-Krzysztof Duda,2698,2758,0-1
Jan-Krzysztof Duda,Magnus Carlsen,1,Titled Tue 7th Nov Late,chess.com INT,2023.11.07,Jan-Krzysztof Duda,Magnus Carlsen,2731,2829,1/2-1/2
Jan-Krzysztof Duda,Alexander Motylev,1,16. ch-EUR Indiv 2015,Jerusalem ISR,2015.02.26,Jan-Krzysztof Duda,Alexander Motylev,2591,2665,1/2-1/2
Jan-Krzysztof Duda,Alireza Firouzja,1,Titled Tue 17th Oct Early,chess.com INT,2023.10.17,Jan-Krzysztof Duda,Alireza Firouzja,2726,2777,1/2-1/2
Jan-Krzysztof Duda,Teimour Radjabov,1,FTX Road to Miami Prelim,chess24.com INT,2022.07.10,Jan-Krzysztof Duda,Teimour Radjabov,2750,2738,1-0
Jan-Krzysztof Duda,Viswanathan Anand,1,SuperUnited Rapid 2023,Zagreb CRO,2023.07.07,Viswanathan Anand,Jan-Krzysztof Duda,2754,2732,1/2-1/2
Jan-Krzysztof Duda,Arkadij Naiditsch,1,World Blitz 2017,Riyadh KSA,2017.12.29,Jan-Krzysztof Duda,Arkadij Naiditsch,2717,2705,1/2-1/2
Jan-Krzysztof Duda,Wang Yue,1,WY Boys-U12,Porto Carras GRE,2010.10.22,Wang Yue,Jan-Krzysztof Duda,2011,2247,0-1
Jan-Krzysztof Duda,Laurent Fressinet,1,European Blitz 2017,Katowice POL,2017.12.15,Jan-Krzysztof Duda,Laurent Fressinet,2717,2662,1/2-1/2
Jan-Krzysztof Duda,Vladimir Kramnik,1,Titled Tue 2nd May Late,chess.com INT,2023.05.02,Vladimir Kramnik,Jan-Krzysztof Duda,2753,2724,0-1
Jan-Krzysztof Duda,Zahar Efimenko,1,6. Lublin GM 2014,Lublin POL,2014.05.08,Zahar Efimenko,Jan-Krzysztof Duda,2648,2587,1/2-1/2
Jan-Krzysztof Duda,Kirill Alekseenko,1,chess.com SpeedChess Q1Sw,chess.com INT,2022.11.10,Jan-Krzysztof Duda,Kirill Alekseenko,2731,2687,1-0
Jan-Krzysztof Duda,Anton Korobov,1,FIDE Grand Swiss 2023,Douglas IOM,2023.11.05,Jan-Krzysztof Duda,Anton Korobov,2726,2658,1-0
Jan-Krzysztof Duda,Ni Hua,1,World Blitz 2017,Riyadh KSA,2017.12.30,Jan-Krzysztof Duda,Ni Hua,2717,2671,1/2-1/2
Jan-Krzysztof Duda,David Howell,1,Online Olym Top DivD 2021,chess.com INT,2021.09.08,Jan-Krzysztof Duda,David Howell,2756,2658,1-0
Jan-Krzysztof Duda,Samuel Shankland,1,Armageddon Grand Final W,Berlin GER,2023.09.14,Samuel Shankland,Jan-Krzysztof Duda,2698,2726,0-1
Jan-Krzysztof Duda,Pentala Harikrishna,1,World Blitz 2022,Almaty KAZ,2022.12.30,Pentala Harikrishna,Jan-Krzysztof Duda,2705,2729,0-1
Jan-Krzysztof Duda,Bassem Amin,1,World Blitz 2021,Warsaw POL,2021.12.29,Bassem Amin,Jan-Krzysztof Duda,2680,2760,1/2-1/2
Jan-Krzysztof Duda,Radosław Wojtaszek,1,Superbet Rapid 2023,Warsaw POL,2023.05.22,Jan-Krzysztof Duda,Radosław Wojtaszek,2724,2670,1-0
Jan-Krzysztof Duda,Evgeny Tomashevsky,1,European Online CC PlayC,Tornelo INT,2021.03.29,Jan-Krzysztof Duda,Evgeny Tomashevsky,2729,2706,1-0
Jan-Krzysztof Duda,Gawain Jones,1,Titled Tue 17th Jan Late,chess.com INT,2023.01.17,Jan-Krzysztof Duda,Gawain Jones,2729,2623,1-0
Jan-Krzysztof Duda,Richárd Rapport,1,SuperUnited Blitz 2023,Zagreb CRO,2023.07.09,Richárd Rapport,Jan-Krzysztof Duda,2752,2732,0-1
Jan-Krzysztof Duda,Gukesh Dommaraju,1,Armageddon Grand Final W,Berlin GER,2023.09.17,Gukesh Dommaraju,Jan-Krzysztof Duda,2758,2726,0-1
Jan-Krzysztof Duda,Arjun Erigaisi,1,Titled Tue 5th Dec Late,chess.com INT,2023.12.05,Arjun Erigaisi,Jan-Krzysztof Duda,2727,2732,0-1
Jan-Krzysztof Duda,Garry Kasparov,1,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,Jan-Krzysztof Duda,Garry Kasparov,2738,2812,1-0
Jan-Krzysztof Duda,Michał Krasenkow,1,World Blitz 2021,Warsaw POL,2021.12.29,Jan-Krzysztof Duda,Michał Krasenkow,2760,2576,1-0
Jan-Krzysztof Duda,Nodirbek Abdusattorov,1,Armageddon Grand Final W,Berlin GER,2023.09.20,Nodirbek Abdusattorov,Jan-Krzysztof Duda,2716,2726,0-1
Jan-Krzysztof Duda,Sergei Movsesian,1,World Rapid 2021,Warsaw POL,2021.12.27,Jan-Krzysztof Duda,Sergei Movsesian,2760,2608,1-0
Jan-Krzysztof Duda,Rameshbabu Praggnanandhaa,1,WR Chess Masters 2023,Dusseldorf GER,2023.02.21,Rameshbabu Praggnanandhaa,Jan-Krzysztof Duda,2690,2729,1/2-1/2
Jan-Krzysztof Duda,Vasyl Ivanchuk,1,Duda-Ivanchuk Help UKR m,Europe-Echecs INT,2022.07.20,Jan-Krzysztof Duda,Vasyl Ivanchuk,2750,2678,1-0
Jan-Krzysztof Duda,Gata Kamsky,1,Titled Tue 5th Sep Late,chess.com INT,2023.09.05,Jan-Krzysztof Duda,Gata Kamsky,2726,2641,1-0
Jan-Krzysztof Duda,Sanan Sjugirov,1,Titled Tue 25th Jul Late,chess.com INT,2023.07.25,Sanan Sjugirov,Jan-Krzysztof Duda,2699,2732,0-1
Jan-Krzysztof Duda,Parham Maghsoodloo,1,World Blitz 2023,Samarkand UZB,2023.12.30,Jan-Krzysztof Duda,Parham Maghsoodloo,2732,2742,1-0
Jan-Krzysztof Duda,Igor Lysy,1,World Rapid 2023,Samarkand UZB,2023.12.28,Jan-Krzysztof Duda,Igor Lysy,2732,2589,1-0
Jan-Krzysztof Duda,Javokhir Sindarov,1,World Blitz 2023,Samarkand UZB,2023.12.30,Jan-Krzysztof Duda,Javokhir Sindarov,2732,2701,1-0
Pavel Eljanov,Vladimir Malakhov,1,AI Cup Play-In 2023,chess.com INT,2023.09.18,Pavel Eljanov,Vladimir Malakhov,2695,2646,1-0
Pavel Eljanov,Gata Kamsky,1,Germany Grand Prix 2021,Dortmund GER,2021.07.17,Gata Kamsky,Pavel Eljanov,2658,2671,1/2-1/2
Pavel Eljanov,Michael Adams,1,Vugar Gashimov Mem 2017,Shamkir AZE,2017.04.24,Michael Adams,Pavel Eljanov,2761,2751,1/2-1/2
Pavel Eljanov,David Navara,1,Deutschland Grand Prix,Dortmund GER,2022.07.24,David Navara,Pavel Eljanov,2688,2681,1/2-1/2
Pavel Eljanov,Dmitry Andreikin,1,Titled Tue 11th Apr Early,chess.com INT,2023.04.11,Dmitry Andreikin,Pavel Eljanov,2729,2705,0-1
Pavel Eljanov,Daniil Dubov,1,MrDodgy Inv 3 Finals,chess24.com INT,2022.11.27,Pavel Eljanov,Daniil Dubov,2706,2708,1/2-1/2
Pavel Eljanov,Veselin Topalov,1,28. European Club Cup,Eilat ISR,2012.10.11,Veselin Topalov,Pavel Eljanov,2751,2681,0-1
Pavel Eljanov,Evgeny Alekseev,1,Tal Memorial Blitz,Moscow RUS,2008.08.30,Evgeny Alekseev,Pavel Eljanov,2708,2716,0-1
Pavel Eljanov,Ivan Cheparinov,1,TCh-ESP Div Honor 2022,Linares ESP,2022.09.22,Pavel Eljanov,Ivan Cheparinov,2695,2686,1/2-1/2
Pavel Eljanov,Liviu-Dieter Nisipeanu,1,6. Open,Dubai UAE,2004.04.24,Liviu-Dieter Nisipeanu,Pavel Eljanov,2692,2592,1/2-1/2
Pavel Eljanov,Anton Korobov,1,Titled Tue 20th Jun Early,chess.com INT,2023.06.20,Pavel Eljanov,Anton Korobov,2694,2661,1-0
Pavel Eljanov,Romain Edouard,1,21. European Teams,Hersonissos GRE,2017.11.03,Pavel Eljanov,Romain Edouard,2720,2607,1-0
Pavel Eljanov,Zahar Efimenko,1,33rd Leon Blitz Open 2020,chess.com INT,2020.07.14,Pavel Eljanov,Zahar Efimenko,2672,2602,1/2-1/2
Pavel Eljanov,Viktor Bologan,1,Titled Tuesday 18th May,chess.com INT,2021.05.18,Pavel Eljanov,Viktor Bologan,2672,2574,1-0
Pavel Eljanov,Evgeny Tomashevsky,1,AI Cup Play-In 2023,chess.com INT,2023.09.18,Pavel Eljanov,Evgeny Tomashevsky,2695,2694,1-0
Pavel Eljanov,Maxime Vachier-Lagrave,1,BL 0809 Werder Bremen - SV Mülheim Nord,?,2008.11.29,Pavel Eljanov,Maxime Vachier-Lagrave,2720,2716,1-0
Pavel Eljanov,Teimour Radjabov,1,23. ECC Men,Kemer TUR,2007.10.07,Teimour Radjabov,Pavel Eljanov,2742,2681,1/2-1/2
Pavel Eljanov,Yuriy Kryvoruchko,1,Bundesliga 2022-23,Munich GER,2022.10.22,Yuriy Kryvoruchko,Pavel Eljanov,2658,2697,0-1
Pavel Eljanov,Rustam Kasimdzhanov,1,Germany Grand Prix 2021,Dortmund GER,2021.07.18,Pavel Eljanov,Rustam Kasimdzhanov,2671,2662,1-0
Pavel Eljanov,Alexander Grischuk,1,Titled Tue 21st Nov Late,chess.com INT,2023.11.21,Pavel Eljanov,Alexander Grischuk,2697,2732,1/2-1/2
Pavel Eljanov,Ruslan Ponomariov,1,Germany Grand Prix 2021,Dortmund GER,2021.07.16,Pavel Eljanov,Ruslan Ponomariov,2671,2631,1/2-1/2
Pavel Eljanov,Hikaru Nakamura,1,6. World Blitz,Moscow RUS,2010.11.16,Pavel Eljanov,Hikaru Nakamura,2742,2741,1-0
Pavel Eljanov,Ernesto Inarkiev,1,27. ECC,Rogaska Slatina SLO,2011.09.28,Pavel Eljanov,Ernesto Inarkiev,2683,2692,1/2-1/2
Pavel Eljanov,Dmitry Jakovenko,1,Corus B,Wijk aan Zee NED,2007.01.27,Dmitry Jakovenko,Pavel Eljanov,2691,2675,1/2-1/2
Pavel Eljanov,Levon Aronian,1,Chennai GMs 2023,Chennai IND,2023.12.21,Pavel Eljanov,Levon Aronian,2691,2723,1/2-1/2
Pavel Eljanov,Sergey Karjakin,1,Sberbank GM Rapid,Kiev UKR,2013.06.05,Pavel Eljanov,Sergey Karjakin,2707,2782,1-0
Pavel Eljanov,Sergei Movsesian,1,PRO League Group Stage,chess.com INT,2019.03.12,Sergei Movsesian,Pavel Eljanov,2629,2680,0-1
Pavel Eljanov,Alexander Areshchenko,1,Bundesliga 2015-16,Emsdetten GER,2015.11.01,Alexander Areshchenko,Pavel Eljanov,2661,2717,1/2-1/2
Pavel Eljanov,Emil Sutovsky,1,Richard Riordan GM Blitz,Natanya ISR,2009.07.16,Pavel Eljanov,Emil Sutovsky,2716,2675,1-0
Pavel Eljanov,Wang Hao,1,39. Bosna,Sarajevo BIH,2009.05.08,Wang Hao,Pavel Eljanov,2696,2693,0-1
Pavel Eljanov,Ian Nepomniachtchi,1,Richard Riordan GM Rapid,Natanya ISR,2009.07.14,Pavel Eljanov,Ian Nepomniachtchi,2716,2632,1-0
Pavel Eljanov,Yu Yangyi,1,41. Olympiad Open 2014,Tromso NOR,2014.08.11,Yu Yangyi,Pavel Eljanov,2668,2723,1/2-1/2
Pavel Eljanov,Alexander Motylev,1,PZU SA Open,Polanica Zdroj POL,1999.08.24,Alexander Motylev,Pavel Eljanov,2532,2447,0-1
Pavel Eljanov,Boris Grachev,1,TCh-RUS,Dagomys RUS,2008.04.04,Boris Grachev,Pavel Eljanov,2610,2687,1/2-1/2
Pavel Eljanov,Alexander Moiseenko,1,80. ch-UKR 2011,Kiev UKR,2011.06.10,Pavel Eljanov,Alexander Moiseenko,2712,2679,1/2-1/2
Pavel Eljanov,Rauf Mamedov,1,39. Olympiad Men,Khanty-Mansiysk RUS,2010.09.30,Rauf Mamedov,Pavel Eljanov,2660,2761,0-1
Pavel Eljanov,Ni Hua,1,Governor's Cup,Saratov RUS,2011.10.13,Ni Hua,Pavel Eljanov,2670,2683,1/2-1/2
Pavel Eljanov,Alexei Shirov,1,TCh-ESP Div Honor 2022,Linares ESP,2022.09.17,Pavel Eljanov,Alexei Shirov,2695,2673,1-0
Pavel Eljanov,Peter Leko,1,Tal Memorial Blitz,Moscow RUS,2008.08.29,Peter Leko,Pavel Eljanov,2741,2716,0-1
Pavel Eljanov,Alexander Riazantsev,1,20. TCh-2013,Loo RUS,2013.04.09,Pavel Eljanov,Alexander Riazantsev,2703,2705,1/2-1/2
Pavel Eljanov,Shakhriyar Mamedyarov,1,ChessKid Cup Div 2 L,chess.com INT,2023.05.24,Pavel Eljanov,Shakhriyar Mamedyarov,2705,2738,1/2-1/2
Pavel Eljanov,Vladimir Akopian,1,5. FIDE GP,Jermuk ARM,2009.08.15,Vladimir Akopian,Pavel Eljanov,2712,2716,1/2-1/2
Pavel Eljanov,Boris Gelfand,1,4. FIDE GP,Nalchik RUS,2009.04.22,Boris Gelfand,Pavel Eljanov,2733,2693,0-1
Pavel Eljanov,Ivan Sokolov,1,15. ETC,Goteborg SWE,2005.07.31,Ivan Sokolov,Pavel Eljanov,2691,2639,1/2-1/2
Pavel Eljanov,Evgeny Bareev,1,TCh-RUS,Sochi RUS,2005.04.23,Pavel Eljanov,Evgeny Bareev,2641,2709,1/2-1/2
Pavel Eljanov,Wang Yue,1,8. World Teams,Ningbo CHN,2011.07.18,Wang Yue,Pavel Eljanov,2709,2697,1/2-1/2
Pavel Eljanov,Maxim Matlakov,1,Geza Hetenyi Mem 2023,Budapest HUN,2023.07.19,Pavel Eljanov,Maxim Matlakov,2694,2673,1/2-1/2
Pavel Eljanov,Sergei Rublevsky,1,20. TCh-2013,Loo RUS,2013.04.08,Pavel Eljanov,Sergei Rublevsky,2703,2688,1/2-1/2
Pavel Eljanov,Peter Svidler,1,MrDodgy Inv 3 GpB,chess24.com INT,2022.11.26,Peter Svidler,Pavel Eljanov,2683,2706,1/2-1/2
Pavel Eljanov,Ding Liren,1,Palma De Mallorca GP 2017,Palma de Majorca ESP,2017.11.18,Ding Liren,Pavel Eljanov,2774,2707,1/2-1/2
Pavel Eljanov,Alexander Onischuk,1,Aeroflot Open,Moscow RUS,2002.02.07,Pavel Eljanov,Alexander Onischuk,2540,2655,1/2-1/2
Pavel Eljanov,Bu Xiangzhi,1,40. Olympiad Open,Istanbul TUR,2012.09.09,Bu Xiangzhi,Pavel Eljanov,2670,2693,0-1
Pavel Eljanov,Vadim Milov,1,Geneve (open des maitres),Geneva SUI,2004.01.31,Vadim Milov,Pavel Eljanov,2632,2596,1/2-1/2
Pavel Eljanov,Viswanathan Anand,1,World Rapid Team 2023,Dusseldorf GER,2023.08.28,Pavel Eljanov,Viswanathan Anand,2695,2754,1/2-1/2
Pavel Eljanov,Maxim Rodshtein,1,TCh-ISR 2020,Israel ISR,2020.02.14,Pavel Eljanov,Maxim Rodshtein,2650,2628,1-0
Pavel Eljanov,Nikita Vitiugov,1,32. ECC Open 2016,Novi Sad SRB,2016.11.10,Pavel Eljanov,Nikita Vitiugov,2757,2718,1/2-1/2
Pavel Eljanov,Anish Giri,1,Reykjavik Open 2013,Reykjavik ISL,2013.02.24,Anish Giri,Pavel Eljanov,2722,2678,1/2-1/2
Pavel Eljanov,Gabriel Sargissian,1,World Rapid Team 2023,Dusseldorf GER,2023.08.28,Gabriel Sargissian,Pavel Eljanov,2692,2695,1/2-1/2
