Id,Label,fideId,elo,top_player
"Galojan,L","Galojan,L",13301314,2317,False
"Holt,C","Holt,C",2034387,2555,False
Rustam Kasimdzhanov,Rustam Kasimdzhanov,14200244,2693,True
"Antipov,M2","Antipov,M2",4107012,2514,False
Kirill Alekseenko,Kirill Alekseenko,4135539,2462,True
"Hanga,W","Hanga,W",1214187,1966,False
Sanan Sjugirov,Sanan Sjugirov,4189302,2647,True
"Ma,Zhonghan","Ma,Zhonghan",8607206,2435,False
Ni Hua,Ni Hua,8601160,2654,True
Bu Xiangzhi,Bu Xiangzhi,8601445,2699,True
"Bartel,Mat","Bartel,Mat",1112635,2641,False
Pavel Eljanov,Pavel Eljanov,14102951,2723,True
"Salem,AR","Salem,AR",9301348,2581,False
Radosław Wojtaszek,Radosław Wojtaszek,1118358,2715,True
"Moradiabadi,E","Moradiabadi,E",12501255,2586,False
Nikita Vitiugov,Nikita Vitiugov,4152956,2742,True
Markus Ragger,Markus Ragger,1610856,2632,True
"Al Modiahki,M","Al Modiahki,M",12100030,2549,False
Sergei Movsesian,Sergei Movsesian,310204,2672,True
"Durarbayli,V","Durarbayli,V",13402935,2590,False
"Kovalev,Vl","Kovalev,Vl",13504398,2554,False
Yuriy Kryvoruchko,Yuriy Kryvoruchko,14109182,2707,True
Lu Shanglei,Lu Shanglei,8603332,2546,False
Evgeny Tomashevsky,Evgeny Tomashevsky,4147235,2695,True
Arkadij Naiditsch,Arkadij Naiditsch,4650891,2705,True
"Michalik,P","Michalik,P",14907526,2557,False
"Vakhidov,T","Vakhidov,T",14200155,2446,False
"Kayumov,S","Kayumov,S",14200880,2505,False
Ernesto Inarkiev,Ernesto Inarkiev,4162722,2682,True
Zahar Efimenko,Zahar Efimenko,14107201,2648,True
"Shyam,SM","Shyam,SM",5019141,2468,False
"Hilwani,T","Hilwani,T",7600410,2274,False
Gabriel Sargissian,Gabriel Sargissian,13300881,2686,True
"Vakhidov,J","Vakhidov,J",14201801,2471,False
"Nezad,H","Nezad,H",12100293,2365,False
Vadim Milov,Vadim Milov,1304364,2622,True
"Faisal,Ab","Faisal,Ab",9301232,2270,False
"AlHuwar,J","AlHuwar,J",9300465,2277,False
Viktor Bologan,Viktor Bologan,13900048,2661,True
"Hj,Azahari Md Aliuddin","Hj,Azahari Md Aliuddin",10500324,2040,False
"Salgado Lopez,I","Salgado Lopez,I",2257327,2622,False
Viswanathan Anand,Viswanathan Anand,5000017,2785,True
Daniil Dubov,Daniil Dubov,24126055,2614,True
"Andriasian,Z","Andriasian,Z",13302000,2611,False
"Ipatov,Alexander","Ipatov,Alexander",14116731,2613,False
"Sriram,J","Sriram,J",5001668,2375,False
"Ringoir,T","Ringoir,T",208027,2506,False
"Debashis,D","Debashis,D",5024854,2484,False
Ivan Cheparinov,Ivan Cheparinov,2905540,2682,True
"Al Qudaimi,B","Al Qudaimi,B",9400346,2396,False
Ivan Sokolov,Ivan Sokolov,14400030,2650,True
"Byambaa,Z","Byambaa,Z",4900642,2286,False
"Al Sayed,Mohamad","Al Sayed,Mohamad",12100196,2505,False
"Ganguly,S","Ganguly,S",5002150,2619,False
Peter Svidler,Peter Svidler,4102142,2753,True
"Adly,A","Adly,A",10601619,2594,False
"Sandipan,C","Sandipan,C",5004225,2594,False
"Mamedov,Rau","Mamedov,Rau",13401653,2659,False
"Hansen,Eric","Hansen,Eric",2606771,2584,False
"Saeed,I","Saeed,I",9301453,2227,False
"Yudin,S","Yudin,S",4159659,2546,False
Anton Korobov,Anton Korobov,14105730,2680,True
"Fier,A","Fier,A",2107139,2580,False
"Lenic,L","Lenic,L",14603853,2659,False
Pentala Harikrishna,Pentala Harikrishna,5007003,2726,True
"Georgiev,Ki","Georgiev,Ki",2900017,2644,False
"Vallejo Pons,F","Vallejo Pons,F",2205530,2698,False
"Gundavaa,B","Gundavaa,B",4901045,2501,False
"Alahakoon,I","Alahakoon,I",9900993,2123,False
"Goloshchapov,A","Goloshchapov,A",14103222,2586,False
"Sivuk,V","Sivuk,V",14116502,2491,False
Alexander Khalifman,Alexander Khalifman,4100115,2617,True
"Rakhmanov,Ale","Rakhmanov,Ale",4173708,2614,False
"Dragun,K","Dragun,K",1134167,2518,False
"Tologontegin,S","Tologontegin,S",13800574,2382,False
Alexander Areshchenko,Alexander Areshchenko,14109530,2664,True
Parham Maghsoodloo,Parham Maghsoodloo,12539929,2321,True
"Mamedov,Nid","Mamedov,Nid",13400819,2624,False
"Hoi,C","Hoi,C",1400100,2395,False
"Jianu,V","Jianu,V",1208110,2588,False
Bogdan-Daniel Deac,Bogdan-Daniel Deac,1226380,2385,True
Wei Yi,Wei Yi,8603405,2649,True
Wang Yue,Wang Yue,8601429,2711,True
Ding Liren,Ding Liren,8603677,2730,True
Ma Qun,Ma Qun,8603154,2621,False
"Granda Zuniga,J","Granda Zuniga,J",3800024,2640,False
"Dobrov,V","Dobrov,V",4136594,2490,False
"Gleizerov,E","Gleizerov,E",4101332,2531,False
Boris Gelfand,Boris Gelfand,2805677,2747,True
"Tregubov,P","Tregubov,P",4115341,2617,False
Richárd Rapport,Richárd Rapport,738590,2709,True
"Popov,Val","Popov,Val",4119410,2555,False
"Chekhov,S","Chekhov,S",4195639,2486,False
Wan Yunguo,Wan Yunguo,8603189,2472,False
Zhou Jianchao,Zhou Jianchao,8603537,2589,False
Zhao Jun,Zhao Jun,8602522,2613,False
Lin Chen,Lin Chen,8602298,2460,False
"Burnett,R","Burnett,R",2002159,2339,False
Jeffery Xiong,Jeffery Xiong,2047640,2523,True
"Bregadze,L","Bregadze,L",13603264,2483,False
"Sevdimaliev,U","Sevdimaliev,U",13402463,2426,False
Alexey Sarana,Alexey Sarana,24133795,2413,True
"Lintchevski,D","Lintchevski,D",4171055,2562,False
"Gledura,B","Gledura,B",712779,2513,False
"Onischuk,V","Onischuk,V",14114038,2612,False
"Gulamali,K","Gulamali,K",2024764,2349,False
Ray Robson,Ray Robson,2023970,2680,True
"Muzychuk,M","Muzychuk,M",14114550,2561,False
Andrey Esipenko,Andrey Esipenko,24175439,2412,True
"Kalinin,Niki","Kalinin,Niki",24155390,2200,False
"Sveshnikov,E","Sveshnikov,E",4100638,2502,False
"Fang,Yuxiang","Fang,Yuxiang",8605840,2502,False
"Bruzon Batista,L","Bruzon Batista,L",3503739,2681,False
"Nakamura,Hi","Nakamura,Hi",2016192,2787,False
Magnus Carlsen,Magnus Carlsen,1503014,2857,True
"Barsamian,E","Barsamian,E",24102016,2226,False
"Nevednichy,V","Nevednichy,V",1205730,2552,False
"Vajda,Le","Vajda,Le",1203975,2597,False
"Sgircea,S","Sgircea,S",1213776,2276,False
"Foisor,C","Foisor,C",1200496,2349,False
"Bulmaga,I","Bulmaga,I",13903063,2402,False
"Peptan,C","Peptan,C",1201930,2390,False
"Marin,Mi","Marin,Mi",1200020,2539,False
"Cosma,E","Cosma,E",1201590,2324,False
"Mamochev,Andrei","Mamochev,Andrei",54135150,2045,False
"Darini,P","Darini,P",12502200,2511,False
"Bosiocic,Mari","Bosiocic,Mari",14507927,2591,False
Shakhriyar Mamedyarov,Shakhriyar Mamedyarov,13401319,2768,True
"Shytaj,L","Shytaj,L",812633,2435,False
"Damaso,R","Damaso,R",1900030,2434,False
"Banzea,Alexandru-Bogdan","Banzea,Alexandru-Bogdan",1232622,2232,False
"Salami,Abimbola","Salami,Abimbola",8505640,2057,False
Gata Kamsky,Gata Kamsky,2000024,2668,True
"Meier,Geo","Meier,Geo",4675789,2630,False
Wesley So,Wesley So,5202213,2815,True
Anish Giri,Anish Giri,24116068,2785,True
"Zanan,E","Zanan,E",24101940,2442,False
"Iturrizaga,E","Iturrizaga,E",3901211,2662,False
"Santos Ruiz,Miguel","Santos Ruiz,Miguel",22291482,2490,False
Romain Edouard,Romain Edouard,633429,2624,True
Hou Yifan,Hou Yifan,8602980,2652,False
Fabiano Caruana,Fabiano Caruana,2020009,2802,True
"Vachier Lagrave,M","Vachier Lagrave,M",623539,2795,False
"Kovalyov,A","Kovalyov,A",114987,2649,False
Maxim Rodshtein,Maxim Rodshtein,2806851,2695,True
"Guseinov,G","Guseinov,G",13401378,2645,False
"Laznicka,V","Laznicka,V",316385,2647,False
"Kokarev,Dm","Kokarev,Dm",4132181,2616,False
Nodirbek Abdusattorov,Nodirbek Abdusattorov,14204118,2550,True
"Yakubboev,Nodirbek","Yakubboev,Nodirbek",14203987,2493,False
Li Chao2,Li Chao2,8604436,2724,False
Wen Yang,Wen Yang,8602956,2581,False
"Bai,Jinshi","Bai,Jinshi",8602280,2579,False
"Tchentsov,Daniil","Tchentsov,Daniil",34191337,1889,False
Dmitry Andreikin,Dmitry Andreikin,4158814,2702,True
"Hasangatin,R","Hasangatin,R",4122160,2497,False
Gukesh Dommaraju,Gukesh Dommaraju,46616543,2433,True
"Korovin,Mikhail","Korovin,Mikhail",24178560,2311,False
"Rychagov,A","Rychagov,A",4119932,2548,False
"Elarbi,A","Elarbi,A",9200355,2303,False
"Seliverstov,Vl","Seliverstov,Vl",4192036,2462,False
Alexander Motylev,Alexander Motylev,4121830,2651,True
"Kobalia,M","Kobalia,M",4119150,2608,False
"Golubov,Saveliy","Golubov,Saveliy",24176729,2469,False
"Sapunov,E","Sapunov,E",4126661,2461,False
"Dvalishvili,P","Dvalishvili,P",4121996,2414,False
"Shinkevich,V","Shinkevich,V",4122690,2440,False
"Paravyan,D","Paravyan,D",4194985,2605,False
Garry Kasparov,Garry Kasparov,4100018,2812,True
Veselin Topalov,Veselin Topalov,2900084,2736,True
"Dominguez Perez,L","Dominguez Perez,L",3503240,2763,False
"Van Foreest,Jorden","Van Foreest,Jorden",1039784,2622,False
Alireza Firouzja,Alireza Firouzja,12573981,2702,True
"Vidit,S","Vidit,S",5029465,2718,False
"Ozolins,Ar","Ozolins,Ar",11601671,2147,False
"Shankland, Samuel L","Shankland, Samuel L",0,2722,False
Maxime Vachier-Lagrave,Maxime Vachier-Lagrave,0,2780,True
"Damljanovic, Branko","Damljanovic, Branko",0,2550,False
"Van Foreest, Jorden","Van Foreest, Jorden",0,2618,False
"Lautier, Joel","Lautier, Joel",0,2625,False
"Khusnutdinov,R","Khusnutdinov,R",13701703,2491,False
"Rapport, Richard","Rapport, Richard",0,2654,False
"Hartveit,Emil","Hartveit,Emil",0,0,False
"Belkhodja, Slim","Belkhodja, Slim",0,2506,False
Zurab Azmaiparashvili,Zurab Azmaiparashvili,0,2676,True
"Savchenko, Boris","Savchenko, Boris",0,2553,False
Igor Lysy,Igor Lysy,0,2644,True
"Mozharov, Mikhail","Mozharov, Mikhail",0,2573,False
"Krajnak, Martin","Krajnak, Martin",0,2305,False
David Navara,David Navara,0,2275,True
Sergei Rublevsky,Sergei Rublevsky,0,2702,True
"Kelly,Lad","Kelly,Lad",1214705,2239,False
"Vavulin, Maksim","Vavulin, Maksim",0,2441,False
"Lu, Shanglei","Lu, Shanglei",0,2566,False
"Zhou, Yunfeng","Zhou, Yunfeng",0,2130,False
"Fraczek,Weronika","Fraczek,Weronika",1161806,1848,False
"Elsayed,Tarek M.","Elsayed,Tarek M.",10617191,1575,False
"Novikov, Stanislav","Novikov, Stanislav",0,2536,False
"Ziyadov, Oleg","Ziyadov, Oleg",0,2130,False
David Antón Guijarro,David Antón Guijarro,0,2315,True
"Lindstedt, Johan","Lindstedt, Johan",0,2345,False
"Miralles, Gilles","Miralles, Gilles",0,2451,False
"Sedlak, Nikola","Sedlak, Nikola",0,2524,False
"Ehlvest, Jaan","Ehlvest, Jaan",0,2524,False
"Bachmann, Axel","Bachmann, Axel",0,2593,False
"Goganov, Aleksey","Goganov, Aleksey",0,2214,False
"Spice, Alan","Spice, Alan",0,2205,False
"Ponkratov, Pavel","Ponkratov, Pavel",0,2624,False
Denis Khismatullin,Denis Khismatullin,0,2679,True
"Totsky, Leonid","Totsky, Leonid",0,2484,False
"Al Nhier,Hamoud","Al Nhier,Hamoud",21500045,1934,False
Krishnan Sasikiran,Krishnan Sasikiran,5004985,2656,True
"Blatny, Pavel","Blatny, Pavel",0,2494,False
David Howell,David Howell,410608,2698,True
"Lovichi,Raphael","Lovichi,Raphael",45172935,1400,False
Vasyl Ivanchuk,Vasyl Ivanchuk,14100010,2710,True
"Tkachiev, Vladislav","Tkachiev, Vladislav",0,2575,False
Anatoly Karpov,Anatoly Karpov,0,2765,True
"Ivanchuk, Vassily","Ivanchuk, Vassily",0,2753,False
"Nihal, Sarin","Nihal, Sarin",0,2598,False
"Flores Rios, Mauricio","Flores Rios, Mauricio",0,2529,False
"Nyback, Tomi","Nyback, Tomi",0,2628,False
"Krush, Irina","Krush, Irina",0,2472,False
"Pel, Bonno","Pel, Bonno",0,2224,False
"Schlindwein, Rolf","Schlindwein, Rolf",0,2325,False
"Dreev, Aleksey","Dreev, Aleksey",0,2653,False
"Docekal,A","Docekal,A",325600,1892,False
"Harikrishna, Pendyala","Harikrishna, Pendyala",0,2763,False
"Kirchei,Viktoriia","Kirchei,Viktoriia",34133396,2201,False
"Masliakov, Mikhail","Masliakov, Mikhail",0,2195,False
"Alm, Christopher","Alm, Christopher",0,2120,False
Liviu-Dieter Nisipeanu,Liviu-Dieter Nisipeanu,0,2648,True
Vugar Gashimov,Vugar Gashimov,0,2426,True
"Zulfugarli, Magomed","Zulfugarli, Magomed",0,2479,False
"Short, Nigel D","Short, Nigel D",0,2683,False
"Rocha, Sergio","Rocha, Sergio",0,2285,False
Vladimir Akopian,Vladimir Akopian,0,2590,True
"Al Thebaiti,Ahmed M","Al Thebaiti,Ahmed M",21502390,1976,False
"Urkedal, Frode","Urkedal, Frode",0,2572,False
"Egorov, Evgeny","Egorov, Evgeny",0,2387,False
"Khusnutdinov, Rustam","Khusnutdinov, Rustam",0,2470,False
Alexei Shirov,Alexei Shirov,0,2643,True
"Petrosian, Tigran L","Petrosian, Tigran L",0,2477,False
"Grover, Sahaj","Grover, Sahaj",0,2484,False
"Zatonskih, Vitaly","Zatonskih, Vitaly",0,2330,False
"Stefansson, Vignir Vatnar","Stefansson, Vignir Vatnar",0,2300,False
"Molinari, G.","Molinari, G.",0,2162,False
Alexander Moiseenko,Alexander Moiseenko,0,2581,True
"Nachbar, Benjamin","Nachbar, Benjamin",0,2153,False
"Li,Henry","Li,Henry",2508524,2287,False
"Fantin, Ludwig","Fantin, Ludwig",0,2213,False
"Gareev, Timur","Gareev, Timur",0,2606,False
Arjun Erigaisi,Arjun Erigaisi,0,2359,True
"Moskalenko, Alexander","Moskalenko, Alexander",0,2490,False
"Carpenter,David J","Carpenter,David J",0,0,False
Gawain Jones,Gawain Jones,409561,2638,True
"Vallejo Pons, Francisco","Vallejo Pons, Francisco",0,2696,False
"Malaniuk, Vladimir P","Malaniuk, Vladimir P",0,2595,False
"Taleb, Salem","Taleb, Salem",0,2126,False
"Dmitriev, Igor","Dmitriev, Igor",0,2435,False
"Jaracz, Pawel","Jaracz, Pawel",0,2503,False
"Mamedov, N.","Mamedov, N.",0,2341,False
"Azaladze, Shota","Azaladze, Shota",0,2443,False
Rauf Mamedov,Rauf Mamedov,0,2660,True
"Melderis, Uldis","Melderis, Uldis",0,2000,False
"Malakhatko, Vadim","Malakhatko, Vadim",0,2571,False
"Campora, Daniel H","Campora, Daniel H",0,2529,False
"Holm, Kristian Stuvik","Holm, Kristian Stuvik",0,2436,False
"Kose, Serkan","Kose, Serkan",0,2117,False
"Barhudarian, Rafael","Barhudarian, Rafael",0,2320,False
"Welsh,M","Welsh,M",2501090,1985,False
"Pasiev, Rakhim","Pasiev, Rakhim",0,2405,False
"Koehler, Ronald","Koehler, Ronald",0,2262,False
"Reprintsev, Alexander","Reprintsev, Alexander",0,2321,False
"Dzhumagaliev, Yan","Dzhumagaliev, Yan",0,2410,False
"Pridorozhni, Aleksei","Pridorozhni, Aleksei",0,2517,False
"Basman, Michael J","Basman, Michael J",0,2330,False
Jan-Krzysztof Duda,Jan-Krzysztof Duda,0,2738,True
"Romanov, Evgeny","Romanov, Evgeny",0,2543,False
"Kobalia, Mikhail","Kobalia, Mikhail",0,2632,False
"Howell, David W L","Howell, David W L",0,2644,False
Baadur Jobava,Baadur Jobava,0,2711,True
"Ganguly, Surya Shekhar","Ganguly, Surya Shekhar",0,2668,False
"Perez Ponsa, Federico","Perez Ponsa, Federico",0,2235,False
"Rajesh, V A V","Rajesh, V A V",0,2157,False
"Mikac, Tomaz","Mikac, Tomaz",0,2215,False
Emil Sutovsky,Emil Sutovsky,0,2465,True
"Kunin, Vitaly","Kunin, Vitaly",0,2556,False
"Deviatkin, Andrei","Deviatkin, Andrei",0,2471,False
"Grigoriants, Sergey","Grigoriants, Sergey",0,2576,False
"Toporov, Victor","Toporov, Victor",0,2270,False
"Garcia, Jan Emmanuel","Garcia, Jan Emmanuel",0,2413,False
"Tan, Ju2","Tan, Ju2",0,2502,False
Hans Niemann,Hans Niemann,0,2466,True
"Ye, Jiangchuan","Ye, Jiangchuan",0,2648,False
"Wong, Brian","Wong, Brian",0,2007,False
"Kallio, Heikki","Kallio, Heikki",0,2410,False
Ferenc Berkes,Ferenc Berkes,0,2393,True
"Harich, Ralph Dr","Harich, Ralph Dr",0,2168,False
"Barmbold, Jens","Barmbold, Jens",0,2270,False
"Kazhgaleyev, Murtas","Kazhgaleyev, Murtas",0,2582,False
"Huzman, Alexander","Huzman, Alexander",0,2580,False
"Kelires, Andreas","Kelires, Andreas",0,2523,False
Vladislav Artemiev,Vladislav Artemiev,0,2653,True
"Nikac, Predrag","Nikac, Predrag",0,2407,False
"Borodinov, Dmitri","Borodinov, Dmitri",0,2296,False
"Mosblech,Michael","Mosblech,Michael",1270807,1923,False
"Oganisian, Roman","Oganisian, Roman",0,2243,False
"Herbold, Manfred","Herbold, Manfred",0,2129,False
"Elistratov, Ilia","Elistratov, Ilia",0,2513,False
"Genocchio, Daniele","Genocchio, Daniele",0,2452,False
"Yanchenko, Roman","Yanchenko, Roman",0,2436,False
"Gonzalez Diez, Ruben","Gonzalez Diez, Ruben",0,2140,False
Ruslan Ponomariov,Ruslan Ponomariov,0,2692,True
Vladimir Kramnik,Vladimir Kramnik,0,2791,True
"Kravtsiv, Martyn","Kravtsiv, Martyn",0,2621,False
"Hossain, Enamul","Hossain, Enamul",0,2431,False
"Ibba, Isacco","Ibba, Isacco",0,2193,False
Adhiban Baskaran,Adhiban Baskaran,0,2674,True
"Ribeiro, F","Ribeiro, F",0,2245,False
"Beulen, Marcel","Beulen, Marcel",0,2240,False
"Gonda, Laszlo","Gonda, Laszlo",0,2309,False
"Indjic, Aleksandar","Indjic, Aleksandar",0,2620,False
Vincent Keymer,Vincent Keymer,0,2508,True
"Sharikov,Al","Sharikov,Al",4195400,2116,False
"Narayanan,SL","Narayanan,SL",5058422,2515,False
"Sunilduth Lyna, Narayanan","Sunilduth Lyna, Narayanan",0,2515,False
"Grandelius, Nils","Grandelius, Nils",0,2635,False
"Yakubboev, Nodirbek","Yakubboev, Nodirbek",0,2131,False
"Shilov, Sergej","Shilov, Sergej",0,2267,False
"Zherebukh, Yaroslav","Zherebukh, Yaroslav",0,2633,False
"Predke, Alexandr","Predke, Alexandr",0,2533,False
"Mikhaletz, Lubomir","Mikhaletz, Lubomir",0,2485,False
"Demidov, Mikhail","Demidov, Mikhail",0,2497,False
"Sachdev,T","Sachdev,T",5007844,2442,False
"Rashkovsky, Nukhim N","Rashkovsky, Nukhim N",0,2483,False
"Bonin, Jay R","Bonin, Jay R",0,2364,False
"Jones, Gawain C B","Jones, Gawain C B",0,2623,False
"Kupreichik, Viktor D","Kupreichik, Viktor D",0,2402,False
"Babaniya,Benyamin","Babaniya,Benyamin",12539392,2193,False
"Polgar, Judit","Polgar, Judit",0,2735,False
"Lalith, Babu M R","Lalith, Babu M R",0,2542,False
"Hammer, Jon Ludvig","Hammer, Jon Ludvig",0,2494,False
"Idani, Pouya","Idani, Pouya",0,2530,False
"Gagunashvili, Merab","Gagunashvili, Merab",0,2247,False
"Shinkevich, Vitaly","Shinkevich, Vitaly",0,2435,False
"Turikov, Viktor","Turikov, Viktor",0,2256,False
"Deviatkin,A","Deviatkin,A",4121260,2436,False
Vladislav Kovalev,Vladislav Kovalev,0,2328,True
"Gorozhanin, Mikhail","Gorozhanin, Mikhail",0,2419,False
"Asrian, Karen","Asrian, Karen",0,2605,False
"Galmandakh, Badrakh","Galmandakh, Badrakh",0,2225,False
"Safarli, Eltaj","Safarli, Eltaj",0,2649,False
"Pourramezanali, Amirreza","Pourramezanali, Amirreza",0,2505,False
"Hamitevici, Vladimir","Hamitevici, Vladimir",0,2487,False
"Gelashvili, Tamaz","Gelashvili, Tamaz",0,2547,False
"Bitoon, Richard","Bitoon, Richard",0,2439,False
"Smirnov, Anton","Smirnov, Anton",0,2567,False
"Nemet, Ivan","Nemet, Ivan",0,2380,False
Peter Leko,Peter Leko,0,2555,True
"Fontaine, Robert","Fontaine, Robert",0,2200,False
"Harika,D","Harika,D",5015197,2513,False
"Dominguez Perez, Leinier","Dominguez Perez, Leinier",0,2739,False
"El Amari, Khaled","El Amari, Khaled",0,2137,False
"Zavgorodniy, Sergiy","Zavgorodniy, Sergiy",0,2430,False
"Prakash, G B","Prakash, G B",0,2403,False
"Maruszczak,J","Maruszczak,J",1135465,1889,False
"Bauer, Christian","Bauer, Christian",0,2624,False
"Xiu, Deshun","Xiu, Deshun",0,2519,False
"Mackiewicz,Anna","Mackiewicz,Anna",1122347,1981,False
"Prie, Eric","Prie, Eric",0,2470,False
"Li, Chao2","Li, Chao2",0,2732,False
"Khairullin, Ildar","Khairullin, Ildar",0,2658,False
"Astaneh Lopez, Alex","Astaneh Lopez, Alex",0,2433,False
"Quintiliano Pinto,R","Quintiliano Pinto,R",2117568,2484,False
"Quintiliano Pinto, Renato R","Quintiliano Pinto, Renato R",0,2484,False
"Jianu, Vlad-Cristian","Jianu, Vlad-Cristian",0,2444,False
"Dableo, Ronald","Dableo, Ronald",0,2464,False
"McShane, Luke J","McShane, Luke J",0,2706,False
"Kabanov, Nikolai","Kabanov, Nikolai",0,2521,False
"Simonian, Hrair","Simonian, Hrair",0,2468,False
"Rodriguez Vila, Andres","Rodriguez Vila, Andres",0,2437,False
"Almasi, Zoltan","Almasi, Zoltan",0,2682,False
"Hou, Yifan","Hou, Yifan",0,2658,False
"Bohdanowicz,T","Bohdanowicz,T",1125885,1917,False
"Ipatov, Alexander","Ipatov, Alexander",0,2613,False
"Wagner, Dennis","Wagner, Dennis",0,2583,False
Alexander Onischuk,Alexander Onischuk,0,2659,True
"Usmanov, Vasily","Usmanov, Vasily",0,2439,False
"Jiang,Qinyu","Jiang,Qinyu",8612927,1903,False
"Bischoff, Klaus","Bischoff, Klaus",0,2544,False
"Savitskiy,S","Savitskiy,S",24105660,2407,False
"Stokke, Kjetil","Stokke, Kjetil",0,2382,False
"Tisevich, Roman","Tisevich, Roman",0,2337,False
"Fodor, T jr","Fodor, T jr",0,2492,False
Michael Adams,Michael Adams,0,2615,True
"Bacrot, Etienne","Bacrot, Etienne",0,2720,False
"Antipov, Mikhail Al","Antipov, Mikhail Al",0,2589,False
"Bok, Benjamin","Bok, Benjamin",0,2591,False
"Lupulescu,C","Lupulescu,C",1207822,2643,False
"Lupulescu, Constantin","Lupulescu, Constantin",0,2643,False
"Kuzmicz, Krystian","Kuzmicz, Krystian",0,2469,False
"Kozlov,Ge","Kozlov,Ge",4191668,2380,False
"Pakleza, Zbigniew","Pakleza, Zbigniew",0,2497,False
Nordlund J,Nordlund J,0,2145,False
"Nordlund, J.","Nordlund, J.",0,2145,False
"Kacheishvili, Giorgi","Kacheishvili, Giorgi",0,2606,False
"Bajarani, Ulvi","Bajarani, Ulvi",0,2515,False
"Smeets, Jan","Smeets, Jan",0,2647,False
"Ostmoe, Geir S Tallaksen","Ostmoe, Geir S Tallaksen",0,2343,False
"Todorov, Todor","Todorov, Todor",0,2475,False
"Jobava,Ba","Jobava,Ba",13601520,2702,False
"Levin, Felix","Levin, Felix",0,2445,False
"Grigoryan, Avetik","Grigoryan, Avetik",0,2581,False
"Nevanlinna, Risto","Nevanlinna, Risto",0,2244,False
"Svetushkin, Dmitry","Svetushkin, Dmitry",0,2588,False
"Pietocha, Pawel","Pietocha, Pawel",0,2071,False
"Apryshko,G","Apryshko,G",24131792,2382,False
"Ponkratov,P","Ponkratov,P",4157800,2621,False
"Donchenko, Alexander","Donchenko, Alexander",0,2577,False
"Shariyazdanov, Andrey","Shariyazdanov, Andrey",0,2526,False
"Reshetnikov, Alexey","Reshetnikov, Alexey",0,2508,False
"Mons, Leon","Mons, Leon",0,2554,False
